date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:04	50743/50743	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44c9-c63f%22	https://templates.envytheme.com/depan/default/assets/img/most-popular/most-popular-6.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/most-popular/most-popular-6.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:04	41314/41314	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44e0-a16a%22	https://templates.envytheme.com/depan/default/assets/img/video-news/video-news-1.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/video-news/video-news-1.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:04	197777/197777	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44e1-30499%22	https://templates.envytheme.com/depan/default/assets/img/video-news/video-news-2.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/video-news/video-news-2.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:04	58029/58029	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44e1-e2b5%22	https://templates.envytheme.com/depan/default/assets/img/video-news/video-news-3.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/video-news/video-news-3.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:05	46980/46980	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44d2-b78c%22	https://templates.envytheme.com/depan/default/assets/img/politics-news/politics-news-1.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/politics-news/politics-news-1.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:05	114465/114465	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44d3-1bf29%22	https://templates.envytheme.com/depan/default/assets/img/politics-news/politics-news-2.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/politics-news/politics-news-2.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:05	137027/137027	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44d3-2174b%22	https://templates.envytheme.com/depan/default/assets/img/politics-news/politics-news-3.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/politics-news/politics-news-3.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:05	52496/52496	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44d3-cd18%22	https://templates.envytheme.com/depan/default/assets/img/politics-news/politics-news-4.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/politics-news/politics-news-4.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:06	66783/66783	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44b7-104e7%22	https://templates.envytheme.com/depan/default/assets/img/business-news/business-news-1.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/business-news/business-news-1.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:06	41328/41328	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44b8-a178%22	https://templates.envytheme.com/depan/default/assets/img/business-news/business-news-2.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/business-news/business-news-2.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:06	46995/46995	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44d8-b79b%22	https://templates.envytheme.com/depan/default/assets/img/sports-news/sports-news-1.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/sports-news/sports-news-1.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:06	53309/53309	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44d9-d045%22	https://templates.envytheme.com/depan/default/assets/img/sports-news/sports-news-2.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/sports-news/sports-news-2.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:06	37728/37728	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44d9-9368%22	https://templates.envytheme.com/depan/default/assets/img/sports-news/sports-news-3.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/sports-news/sports-news-3.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:07	48770/48770	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44dc-be8a%22	https://templates.envytheme.com/depan/default/assets/img/tech-news/tech-news-1.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/tech-news/tech-news-1.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:07	90078/90078	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44de-15fe6%22	https://templates.envytheme.com/depan/default/assets/img/tech-news/tech-news-2.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/tech-news/tech-news-2.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:07	46124/46124	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44de-b434%22	https://templates.envytheme.com/depan/default/assets/img/tech-news/tech-news-3.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/tech-news/tech-news-3.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:07	208679/208679	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44bb-32f2f%22	https://templates.envytheme.com/depan/default/assets/img/culture-news/culture-news-1.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/culture-news/culture-news-1.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:08	70089/70089	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44bc-111d1%22	https://templates.envytheme.com/depan/default/assets/img/culture-news/culture-news-2.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/culture-news/culture-news-2.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:08	220598/220598	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44bd-3967b%22	https://templates.envytheme.com/depan/default/assets/img/culture-news/culture-news-3.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/culture-news/culture-news-3.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:08	219706/219706	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44bd-38d72%22	https://templates.envytheme.com/depan/default/assets/img/culture-news/culture-news-4.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/culture-news/culture-news-4.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:08	41060/41060	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44c0-a06c%22	https://templates.envytheme.com/depan/default/assets/img/health-news/health-news-1.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/health-news/health-news-1.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:08	56462/56462	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44c0-dc96%22	https://templates.envytheme.com/depan/default/assets/img/health-news/health-news-2.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/health-news/health-news-2.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:09	39573/39573	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44bf-9a9d%22	https://templates.envytheme.com/depan/default/assets/img/featured-reports/featured-reports-1.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/featured-reports/featured-reports-1.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:09	66260/66260	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44c9-102dc%22	https://templates.envytheme.com/depan/default/assets/img/most-shared/most-shared-1.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/most-shared/most-shared-1.jpg	(from https://templates.envytheme.com/depan/default/index.html)
12:57:09	18461/18461	---M--	200	added ('OK')	image/jpeg	etag:%225ffc44c1-4825%22	https://templates.envytheme.com/depan/default/assets/img/latest-news/latest-news-1.jpg	C:/Meus%20Sites/DEPAN/templates.envytheme.com/depan/default/assets/img/latest-news/latest-news-1.jpg	(from https://templates.envytheme.com/depan/default/index.html)
